id;ifes;area;Nome;Mod;ano base;Nota;Docen;A1;A2;B1;B2;B3;B4;B5;C
12001015026P3;UFAM;GEOGRAFIA;GEOGRAFIA;Acad;2016;4;16;0;2;0;1;0;4;0;0
12001015027P0;UFAM;SERVIÇO SOCIAL;SERVIÇO SOCIAL;Acad;2013;3;14;0;0;0;1;0;0;0;1
12001015027P0;UFAM;SERVIÇO SOCIAL;SERVIÇO SOCIAL;Acad;2014;3;14;0;1;0;0;0;3;4;5
12001015027P0;UFAM;SERVIÇO SOCIAL;SERVIÇO SOCIAL;Acad;2015;3;14;0;0;0;0;0;1;2;1
12001015027P0;UFAM;SERVIÇO SOCIAL;SERVIÇO SOCIAL;Acad;2016;3;16;1;2;1;0;1;1;1;12
12001015029P2;UFAM;ANTROPOLOGIA SOCIAL;ANTROPOLOGIA;Acad;2013;4;21;1;1;6;4;3;2;6;0
12001015029P2;UFAM;ANTROPOLOGIA SOCIAL;ANTROPOLOGIA;Acad;2014;4;21;4;1;8;1;1;2;3;1
12001015029P2;UFAM;ANTROPOLOGIA SOCIAL;ANTROPOLOGIA;Acad;2015;4;22;1;2;4;6;2;7;3;2
12001015029P2;UFAM;ANTROPOLOGIA SOCIAL;ANTROPOLOGIA;Acad;2016;4;20;2;0;1;2;2;4;1;0
12001015032P3;UFAM;CIÊNCIAS DA COMUNICAÇÃO;COMUNICAÇÃO;Acad;2013;3;10;0;0;1;0;0;2;0;2
12001015032P3;UFAM;CIÊNCIAS DA COMUNICAÇÃO;COMUNICAÇÃO;Acad;2014;3;10;0;0;0;0;0;0;0;0
12001015032P3;UFAM;CIÊNCIAS DA COMUNICAÇÃO;COMUNICAÇÃO;Acad;2015;3;11;0;0;2;1;1;1;2;1
12001015032P3;UFAM;CIÊNCIAS DA COMUNICAÇÃO;COMUNICAÇÃO;Acad;2016;3;14;0;1;1;6;1;2;3;0
12001015033P0;UFAM;CIÊNCIAS FARMACÊUTICAS;FARMÁCIA;Acad;2013;3;16;2;3;6;6;10;1;3;7
12001015033P0;UFAM;CIÊNCIAS FARMACÊUTICAS;FARMÁCIA;Acad;2014;3;19;2;4;13;5;13;3;8;2
12001015033P0;UFAM;CIÊNCIAS FARMACÊUTICAS;FARMÁCIA;Acad;2015;3;19;2;9;5;6;7;3;2;8
12001015033P0;UFAM;CIÊNCIAS FARMACÊUTICAS;FARMÁCIA;Acad;2016;3;15;2;7;7;3;6;1;5;2
12001015034P6;UFAM;IMUNOLOGIA BÁSICA E APLICADA;IMUNOLOGIA;Acad;2013;4;25;0;0;12;4;1;2;1;1
12001015034P6;UFAM;IMUNOLOGIA BÁSICA E APLICADA;IMUNOLOGIA;Acad;2014;4;26;3;1;12;10;4;5;0;7
12001015034P6;UFAM;IMUNOLOGIA BÁSICA E APLICADA;IMUNOLOGIA;Acad;2015;4;35;12;12;37;21;8;3;4;4
12001015034P6;UFAM;IMUNOLOGIA BÁSICA E APLICADA;IMUNOLOGIA;Acad;2016;4;30;19;14;40;16;6;3;4;9
